title,height,width,year,drawingMaterial,support,price,sold,series,catalogueNumber,description
Pheasant in Flight 2,8,10,2021,Acrylic,Paper/Matted,90,,Animals,,
Pheasant in Flight 3,8,10,2021,Acrylic,Paper/Matted,90,,Animals,,
Pheasant in Flight 4,8,10,2021,Acrylic,Paper/Matted,90,,Animals,,
Pheasant in Flight 5,8,10,2021,Acrylic,Paper/Matted,90,,Animals,,
Rabbit,10,8,2011,Acrylic,paper,50,,Animals,,
Rabbit 2,10,8,2011,Acrylic,paper,50,,Animals,,
Rabbit 3,10,8,2011,Acrylic,paper,50,,Animals,,
Rabbit 4,10,8,2011,Acrylic,Paper,50,,Animals,,
Raccoon,10,8,2011,Acrylic,paper,50,,Animals,,
Raccoon 2,10,8,2011,Acrylic,paper,50,,Animals,,
Raccoon 3,10,8,2011,Acrylic,paper,50,,Animals,,
Red and Blue Cows,5,7,2019,Acrylic,canvas,90,,Animals,,
Sparrows,8,10,2019,Acrylic,canvas,250,,Animals,,
Spirit of a Cat,10,8,2001,Acrylic,canvas,250,,Animals,,
Squirrel,10,8,2011,Acrylic,paper,50,,Animals,,
Squirrel Eating an Apple,5,7,2019,Acrylic,canvas,90,,Animals,,
Stag,10,8,2011,Acrylic,paper,50,,Animals,,
Turkeys,12,16,2019,Acrylic,canvas,,TRUE,Animals,,
Wild Burros,8,10,2019,Acrylic,canvas,250,,Animals,,
Belmar Beach,11,14,2009,Watercolor,paper,400,,Beach,,
Boats,11,14,1975,Graphite,paper,75,,Beach,,
Island State Park Beach,11,14,2010,Watercolor,paper,400,,Beach,,
Mystic Connecticut Inlet,11,14,1999,pastel,paper,400,,Beach,,
"Mystic Connecticut, Boats",11,14,1999,pastel,paper,400,,Beach,,
Ocean City Houses,11,14,2014,Watercolor ,paper,400,,Beach,,
Ocean City Sunrise,11,14,2014,Watercolor,paper,400,,Beach,,
Sunbathers ,8,10,2008,Watercolor,paper,210,,Beach,,
Sunbathers 2,11,14,2009,Watercolor,paper,210,,Beach,,
Beach Scene,4.5,6,2008,Watercolor,Paper,210,,Beach ,,
Sunbathers 3,8,10,2008,Watercolor,Paper,210,,Beach ,,
Bone,11,14,1977,Ink,paper,150,,Bone,,
Bone Series 13,11,14,1977,mix media,paper,150,,Bone,,
Bone Series 15,11,14,1977,Ink,paper,150,,Bone,,
Bone Series 16,11,14,1977,Ink,paper,150,,Bone,,
Bone Series 17,11,14,1977,mix media,paper,150,,Bone,,
Bone Series 18,11,14,1977,mix media,paper,150,,Bone,,
Bone Series 19,11,14,1977,mix media,paper,150,,Bone,,
Bone Series XX,11,14,1977,Ink,paper,150,,Bone,,
Bone Series XXI,11,14,1977,mix media,paper,150,,Bone,,
Figure Study 1,11,14,1977,mix media,paper,150,,Bone,,
Figure Study 2,11,14,1977,mix media,paper,150,,Bone,,
Figure Study 3,11,14,1977,mix media,paper,150,,Bone,,
Chet 1,8,10,2009,Watercolor,paper,210,,Cold River Camp,,
Chet 2,8,10,2009,Watercolor,paper,210,,Cold River Camp,,
Chet 3,8,10,2009,Watercolor,paper,210,,Cold River Camp,,
Cold River Field,8,10,2008,Acrylic,paper,210,,Cold River Camp,,
"Cold River Library, Night",11,14,2010,pastel,paper,400,,Cold River Camp,,
