title,height,width,year,drawingMaterial,support,price,sold,series,catalogueNumber,description
Roosevelt Trail 1,8,10,2018,Acrylic,Canvas,250,,Forest Path,,
Roosevelt Walk in the Woods 2,18,24,2009,Acrylic,canvas,1000,,Forest Path,329,
Roosevelt Woods,10,10,2017,Acrylic,canvas,260,,Forest Path,,
"Roosevelt Woods, Late Afternoon",18,24,2009,Acrylic,canvas,1000,,Forest Path,,
Rutgers Garden Woods,8,10,2018,Acrylic,canvas,250,,Forest Path,,
Stepping Stones,10,10,2015,Acrylic,Canvas,260,,Forest Path,,
Sunrise Mountain,11,14,2016,Watercolor,paper,400,,Forest Path,,
"Sunrise Mountain, Plein Aire",11,14,2016,Watercolor,paper,400,,Forest Path,,
Sunset Pikes Peak,11,14,2008,colored pencil,paper,300,,Forest Path,,
The Encounter in the Woods,8,10,2008,pastel,paper,,TRUE,Forest Path,,
Tillman Ravine Fall Stream,10,10,2016,Acrylic,canvas,,TRUE,Forest Path,,
Tillman Ravine Fall Stream 2,10,10,2016,Acrylic,canvas,260,,Forest Path,,
Tillman Ravine Fall Stream 3,10,10,2016,Acrylic,canvas,,TRUE,Forest Path,,
Tillman Ravine Fall Stream 4,10,10,2016,Acrylic,canvas,,TRUE,Forest Path,,
Tillman Ravine Fall Stream 5,10,10,2016,Acrylic,canvas,,TRUE,Forest Path,,
Two Roads Divided in a Yellow Woods,18,24,2016,Acrylic,canvas,1000,,Forest Path,,
Winter Woods,8,10,2009,mix media,paper,210,,Forest Path,,
Woodland Path,11,14,2018,Acrylic,canvas,400,,Forest Path,,
"Woodland Trail, January Shadows",12,16,2021,Acrylic,canvas,500,,Forest Path,,
"Woodland Trail, January Shadows 2",12,16,2021,Acrylic,canvas,500,,Forest Path,,
7 16 09 Evening,8,10,2009,Watercolor,paper,210,,Gardens,,
Back Garden Tea House,6,9.5,1994,pastel,paper,300,,Gardens,70,
Bridge at Brookside Gardens Fall,16,21,1989,pastel,paper,840,,Gardens,21,
Bridge Sayen Garden,10,13.5,2000,pastel,paper,400,,Gardens,120,
Brookside Fall Bridge,15,24,1989,pastel,paper,900,,Gardens,21,
Brookside Fall Walk,15,22,1989,pastel,paper,825,,Gardens,29,
Brookside Greenhouse,9.5,12.5,1993,Pastel,Paper,400,,Gardens,,
Brookside Path,7,9,1989,pastel,paper,250,,Gardens,,
Brookside Stream,11,14,1989,pastel,paper,400,,Gardens,25,
Brookside Stream Fall 1,14,11,1989,pastel,paper,400,,Gardens,24,
Brookside Summer,7,10,1993,pastel,paper,400,,Gardens,6,
Brookside Tulips,15,18,1989,pastel,paper,675,,Gardens,77,
Brookside Winter Walk 2,19,22,1989,pastel,paper,1000,,Gardens,37,
"Brookside, Winter Walk",18,24,1989,pastel,paper,1000,,Gardens,26,
Dumbarton Oaks Summer Path II,9,12,1986,Pastel,Paper,400,,Gardens,,
"Fall Bridge, Brookside",9,12,1989,pastel,paper,350,,Gardens,71,
"Fall Leaves, Brookside",11,14,1989,pastel,paper,400,,Gardens,36,
Garden Path,8,10,2019,Acrylic,paper,250,,Gardens,,
Garden Tour Painting,11,14,2014,Watercolor,paper,400,,Gardens,,
Kensington Late Summer,10,13,1989,pastel,paper,400,,Gardens,72,
Kirk and Susan's Garden,11,14,2016,Watercolor ,paper,,TRUE,Gardens,,
Kirk and Susan's Garden 2,11,14,2016,Watercolor,paper,,TRUE,Gardens,,
Kirk and Susan's Garden 3,11,14,2106,Watercolor,paper,,TRUE,Gardens,,
Kirk and Susan's Garden 4,11,14,2016,Watercolor ,paper,,TRUE,Gardens,,
Kirk and Susan's Garden 5,11,14,2016,Watercolor,paper,,TRUE,Gardens,,
Kirk and Susan's Garden 6,11,14,2106,Watercolor,paper,,TRUE,Gardens,,
Kuser Mansion,11,14,2016,Acrylic,Canvas,400,,Gardens,,
Kuser Mansion 2,11,14,2016,Acrylic,canvas,400,,Gardens,,
Kuser Mansion Plein Aire,11,14,2016,Acrylic,canvas,400,,Gardens,,
"McCrillis, Spring Garden",11,16,1989,pastel,paper,440,,Gardens,33,
My Garden,11,8.5,2011,Acrylic,canvas,320,,Gardens,,
National Arboretum Beech Pond,23,35,1989,pastel,paper,1000,,Gardens,22,
National Arboretum Creek,10,12.5,1989,pastel,paper,400,,Gardens,,
National Arboretum Fall,13,13,1989,pastel,paper,460,,Gardens,11,
National Arboretum Pavillian ,8,12,1989,pastel,paper,250,,Gardens,10,
"National Arboretum, Azalea Garden 1",11,14,1989,pastel,paper,400,,Gardens,27,
"National Arboretum, Azalea Garden 2",10,13,1989,pastel,paper,400,,Gardens,28,
"National Arboretum, Early Spring",10,13,1989,Pastel,Paper,400,,Gardens,32,
,,,,,,,,,,
Orangery Dumbarton Oaks,20,13,1987,Pastel,Paper,800,,Gardens,,
"Patio, Dumbarton Oaks",14,20,1991,pastel,paper,700,,Gardens,3,
PCS Cathedral Garden Door,4.5,6,1996,Pastel,Paper,210,,Gardens,,
"PCS Cathedral Garden Gate, Winter 1",4.5,6,1995,pastel,paper,210,,Gardens,104,
"PCS Cathedral Garden Gate, Winter 2",4.5,6,1994,pastel,paper,210,,Gardens,,
"PCS Cathedral Garden, Winter 2",4.5,6,1996,Pastel,Paper,210,,Gardens,,
"PCS Cathedral Garden, Winter 1",6.5,4.5,1996,pastel,paper,210,,Gardens,111,
PCS Cathedral Gate Winter,4.5,6,1998,Pastel,Paper,210,,Gardens,,
PCS Dumbarton Oaks Fountain,4.5,6,1993,pastel,paper,210,,Gardens,5,
"PCS Dumbarton Oaks, Orangery",5,6,1995,pastel,paper,210,,Gardens,64,
PCS Garden Door II,4.5,6,1996,pastel,paper,210,,Gardens,63,
,,,,,,,,,,
PCS Garden Fountain 2,4.5,6,1994,pastel,paper,210,,Gardens,69,
PCS Garden Pond,4.5,6,1994,pastel,paper,210,,Gardens,65,
PCS Hemlock Grove,5,7,1996,pastel,paper,210,,Gardens,96,
PCS Rose Garden Path ,5,6.5,1996,pastel,paper,210,,Gardens,113,
PCS Winter Colors Brookside,4.5,6,1996,pastel,paper,210,,Gardens,114,
PCS Yellow Dogwood,5,6.5,1996,pastel,paper,210,,Gardens,116,
Perennial Gardens,13,19,1989,Pastel,Paper,800,,Gardens,,
Pleasant Run Garden,11,14,2015,Watercolor,paper,400,,Gardens,,
"Rose Garden, Brookside",15,22,1989,pastel,paper,825,,Gardens,34,
Rutger's Garden Plein Aire,8,10,2017,Acrylic,canvas,250,,Gardens,,
"Rutger's Garden, Herb Garden",8,10,2018,Acrylic,canvas,250,,Gardens,,
Rutger's Gardens Early Spring,11,14,2018,Acrylic,canvas,400,,Gardens,,
Rutger's Gardens Early Spring Path,12,16,2018,Acrylic,canvas,500,,Gardens,,
Rutgers Garden Woods,8,10,2018,Acrylic,paper,250,,Gardens,,
Sayen Garden Fountain,11,14,2016,Watercolor,paper,400,,Gardens,,
Sayen Gardens,16,20,2000,pastel,paper,800,,Gardens,291,
Sharp's Garden Bird Bath,11,14,2013,Watercolor,paper,400,,Gardens,,
Sharp's Garden Notes,11,14,2013,Watercolor,paper,400,,Gardens,,
Sharp's Garden Patio,11,14,2013,Watercolor,paper,400,,Gardens,,
Sharp's Pink Lawn Chairs,11,14,2013,Watercolor,paper,400,,Gardens,,
Spring Brookside,22,18,1993,pastel,paper,1000,,Gardens,,
Spring Trail,16,20,1989,Oil,Canvas,800,,Gardens,299,
,,,,,,,,,,
"Summer Path, Dumbarton Oaks",9.5,14,1989,pastel,paper,350,,Gardens,76,
Summer Stage,11,14,1989,pastel,paper,400,,Gardens,39,
Tea House,25,19,1989,pastel,paper,1000,,Gardens,,
Tea House at Brookside,10,20,1990,pastel,paper,500,,Gardens,74,
Thompson-Neely House,11,14,2016,Acrylic,canvas,400,,Gardens,,
Walford Rocker,8,10,2017,Acrylic,canvas,250,,Gardens,,
Woodend Hemlock Grove 1,19,25,1989,pastel,paper,1000,,Gardens,20,
Woodend Hemlock Grove 2,25,19,1989,pastel,paper,1000,,Gardens,38,
"Cottonwood Loop, Deer 1",8,10,2021,Acrylic,Canvas,250,,Homestead National Historic Park AIR,,
"Cottonwood Loop, Deer 2",8,10,2021,Acrylic,Canvas,250,,Homestead National Historic Park AIR,,
Cub Creek Heron in Flight,12,16,2021,Acrylic,Canvas,500,,Homestead National Historic Park AIR,,
"Cub Creek, Deer 1",8,10,2021,Acrylic,Canvas,250,,Homestead National Historic Park AIR,,
"Cub Creek, Deer 2",8,10,2021,Acrylic,Canvas,250,,Homestead National Historic Park AIR,,
"Cub Creek, Deer 3",8,10,2021,Acrylic,Canvas,250,,Homestead National Historic Park AIR,,
"Cub Creek, Deer 4",8,10,2021,Acrylic,Canvas,250,,Homestead National Historic Park AIR,,
"Cub Creek, Deer 5",8,10,2021,Acrylic,Canvas,250,,Homestead National Historic Park AIR,,
"Deer Count, Photographer 1",8,10,2021,Acrylic,Paper/Matted,90,,Homestead National Historic Park AIR,,
"Deer Count, Photographer 2",8,10,2021,Acrylic,Paper/Matted,90,,Homestead National Historic Park AIR,,
"Deer Count, Photographer 3",8,10,2021,Acrylic,Paper/Matted,90,,Homestead National Historic Park AIR,,
"Deer Count, Photographer 4",8,10,2021,Acrylic,Paper/Matted,90,,Homestead National Historic Park AIR,,
"Deer Count, Ranger Hunter 1",8,10,2021,Acrylic,Paper/Matted,90,,Homestead National Historic Park AIR,,
"Deer Count, Ranger Hunter 2",8,10,2021,Acrylic,Paper/Matted,90,,Homestead National Historic Park AIR,,
"Deer Count, Ranger Hunter 3",8,10,2021,Acrylic,Paper/Matted,90,,Homestead National Historic Park AIR,,
"Deer Count, Ranger Hunter 4",8,10,2021,Acrylic,Paper/Matted,90,,Homestead National Historic Park AIR,,
"Deer Count, Ranger Hunter 5",8,10,2021,Acrylic,Paper/Matted,90,,Homestead National Historic Park AIR,,
"Deer Count, Ranger Hunter 6",8,10,2021,Acrylic,Paper/Matted,90,,Homestead National Historic Park AIR,,
"Deer Count, Ranger Jesse 1",8,10,2021,Acrylic,Paper/Matted,90,,Homestead National Historic Park AIR,,
"Deer Count, Ranger Jesse 2",8,10,2021,Acrylic,Paper/Matted,90,,Homestead National Historic Park AIR,,
"Deer Count, Ranger Jessica 1",8,10,2021,Acrylic,Paper/Matted,90,,Homestead National Historic Park AIR,,
"Deer Count, Ranger Jessica 2",8,10,2021,Acrylic,Paper/Matted,90,,Homestead National Historic Park AIR,,
"Deer Count, Ranger Jessica 3",8,10,2021,Acrylic,Paper/Matted,90,,Homestead National Historic Park AIR,,
"Deer Count, Volunteer 1",8,10,2021,Acrylic,Paper/Matted,90,,Homestead National Historic Park AIR,,
"Deer Count, Volunteer 2",8,10,2021,Acrylic,Paper/Matted,90,,Homestead National Historic Park AIR,,
"Deer Count, Volunteer 3",8,10,2021,Acrylic,Paper/Matted,90,,Homestead National Historic Park AIR,,
"Deer Count, Volunteer 4",8,10,2021,Acrylic,Paper/Matted,90,,Homestead National Historic Park AIR,,
"Deer Count, Volunteer 5",8,10,2021,Acrylic,Paper/Matted,90,,Homestead National Historic Park AIR,,
Deer in Field,8,10,2021,Acrylic,Paper/Matted,90,,Homestead National Historic Park AIR,,
Heritage Center in Moonlight,12,16,2021,Acrylic,Canvas,500,,Homestead National Historic Park AIR,,
Homestead Cabin,12,16,2021,Acrylic,Canvas,500,,Homestead National Historic Park AIR,,
Homestead Cabin in Moonlight,12,16,2021,Acrylic,Canvas,500,,Homestead National Historic Park AIR,,
Homestead Deer Count,18,24,2021,Acrylic,Canvas,1000,,Homestead National Historic Park AIR,,
Homestead Loop Trail,12,16,2021,Acrylic,Canvas,500,,Homestead National Historic Park AIR,,
"Loop Trail, Near Cub Creek",12,16,2021,Acrylic,Canvas,500,,Homestead National Historic Park AIR,,
"Monarch, Praire Migration",12,16,2021,Acrylic,Canvas,500,,Homestead National Historic Park AIR,,
Morning Mist,12,16,2021,Acrylic,Canvas,500,,Homestead National Historic Park AIR,,
Pheasant in Flight 1,8,10,2021,Acrylic,Paper/Matted,90,,Homestead National Historic Park AIR,,
Pheasant in Flight 2,8,10,2021,Acrylic,Paper/Matted,90,,Homestead National Historic Park AIR,,
Pheasant in Flight 3,8,10,2021,Acrylic,Paper/Matted,90,,Homestead National Historic Park AIR,,
Pheasant in Flight 4,8,10,2021,Acrylic,Paper/Matted,90,,Homestead National Historic Park AIR,,
Pheasant in Flight 5,8,10,2021,Acrylic,Paper/Matted,90,,Homestead National Historic Park AIR,,
Praire,8,10,2021,Acrylic,Paper/Matted,90,,Homestead National Historic Park AIR,,
Praire Skies Sunset 1,11,14,2021,Pastel,Paper/Matted,400,,Homestead National Historic Park AIR,,
Praire Skies Sunset 2,11,14,2021,Watercolor,Paper/Matted,400,,Homestead National Historic Park AIR,,
Praire Skies Sunset 3,11,14,2021,Watercolor,Paper/Matted,400,,Homestead National Historic Park AIR,,
Praire Skies Sunset 4,14,11,2021,Watercolor,Paper/Matted,400,,Homestead National Historic Park AIR,,
Sunrise Over Grain Hwy,12,16,2021,Acrylic,Canvas,500,,Homestead National Historic Park AIR,,
Icarus1,,,0,Clear Tape Sculpture,Tape,,,Icarus,,
Icarus3,,,0,Clear Tape Sculpture,Tape,,,Icarus,,
Icarus9,,,0,Clear Tape Sculpture,Tape,,,Icarus,,
Camels,6,6.5,2011,Watercolor,paper,100,,Illustrations,,
Camels with School Children,6,6.5,2011,Watercolor,paper,100,,Illustrations,,
Fighting Fires,8,10,2011,Watercolor,paper,210,,Illustrations,,
Happy and Doc at a Birthday Party,11,14,2012,Watercolor,paper,100,,Illustrations,,
"New Clothes, Aug 30th",8,10,2016,Watercolor,paper,210,,Illustrations,,
Peguins,8,10,2012,Watercolor,paper,210,,Illustrations,,
Pony Express Rider,11,14,2010,Watercolor,paper,100,,Illustrations,,
Princeton Trader Joe Poster 1,11,14,2013,Watercolor,paper,,,Illustrations,,
Princeton Trader Joe Poster 2,11,14,2013,Watercolor,paper,,,Illustrations,,
Scary Clowns Dancing,8,10,2011,Watercolor,paper,210,,Illustrations,,
Mom and Dad Dancing 1,5,7,2019,Acrylic,paper,,,"Mom and Dad Dancing, the Movie",,
Mom and Dad Dancing 10,5,7,2019,Acrylic,paper,,,"Mom and Dad Dancing, the Movie",,
Mom and Dad Dancing 11,5,7,2019,Acrylic,paper,,,"Mom and Dad Dancing, the Movie",,
Mom and Dad Dancing 12,5,7,2019,Acrylic,paper,,,"Mom and Dad Dancing, the Movie",,
Mom and Dad Dancing 13,5,7,2019,Acrylic,paper,,,"Mom and Dad Dancing, the Movie",,
Mom and Dad Dancing 14,5,7,2019,Acrylic,paper,,,"Mom and Dad Dancing, the Movie",,
Mom and Dad Dancing 15,5,7,2019,Acrylic,paper,,,"Mom and Dad Dancing, the Movie",,
Mom and Dad Dancing 16,5,7,2019,Acrylic,paper,,,"Mom and Dad Dancing, the Movie",,
Mom and Dad Dancing 17,5,7,2019,Acrylic,paper,,,"Mom and Dad Dancing, the Movie",,
Mom and Dad Dancing 18,5,7,2019,Acrylic,paper,,,"Mom and Dad Dancing, the Movie",,
Mom and Dad Dancing 19,5,7,2019,Acrylic,paper,,,"Mom and Dad Dancing, the Movie",,
Mom and Dad Dancing 2,5,7,2019,Acrylic,paper,,,"Mom and Dad Dancing, the Movie",,
Mom and Dad Dancing 20,5,7,2019,Acrylic,paper,,,"Mom and Dad Dancing, the Movie",,
Mom and Dad Dancing 3,5,7,2019,Acrylic,paper,,,"Mom and Dad Dancing, the Movie",,
Mom and Dad Dancing 4,5,7,2019,Acrylic,paper,,,"Mom and Dad Dancing, the Movie",,
Mom and Dad Dancing 5,5,7,2019,Acrylic,paper,,,"Mom and Dad Dancing, the Movie",,
Mom and Dad Dancing 6,5,7,2019,Acrylic,paper,,,"Mom and Dad Dancing, the Movie",,
Mom and Dad Dancing 7,5,7,2019,Acrylic,paper,,,"Mom and Dad Dancing, the Movie",,
Mom and Dad Dancing 8,5,7,2019,Acrylic,paper,,,"Mom and Dad Dancing, the Movie",,
Mom and Dad Dancing 9,5,7,2019,Acrylic,paper,,,"Mom and Dad Dancing, the Movie",,
Mom and Dad's Wedding 1,5,7,2019,Acrylic,paper,,,Mom and Dad's Wedding Movie,,
Mom and Dad's Wedding 10,5,7,2019,Acrylic,paper,,,Mom and Dad's Wedding Movie,,
Mom and Dad's Wedding 11,5,7,2019,Acrylic,paper,,,Mom and Dad's Wedding Movie,,
Mom and Dad's Wedding 12,5,7,2019,Acrylic,paper,,,Mom and Dad's Wedding Movie,,
Mom and Dad's Wedding 13,5,7,2019,Acrylic,paper,,,Mom and Dad's Wedding Movie,,
Mom and Dad's Wedding 14,5,7,2019,Acrylic,paper,,,Mom and Dad's Wedding Movie,,
Mom and Dad's Wedding 15,5,7,2019,Acrylic,paper,,,Mom and Dad's Wedding Movie,,
Mom and Dad's Wedding 16,5,7,2019,Acrylic,paper,,,Mom and Dad's Wedding Movie,,
Mom and Dad's Wedding 17,5,7,2019,Acrylic,paper,,,Mom and Dad's Wedding Movie,,
Mom and Dad's Wedding 2,5,7,2019,Acrylic,paper,,,Mom and Dad's Wedding Movie,,
Mom and Dad's Wedding 3,5,7,2019,Acrylic,paper,,,Mom and Dad's Wedding Movie,,
Mom and Dad's Wedding 4,5,7,2019,Acrylic,paper,,,Mom and Dad's Wedding Movie,,
Mom and Dad's Wedding 5,5,7,2019,Acrylic,paper,,,Mom and Dad's Wedding Movie,,
Mom and Dad's Wedding 6,5,7,2019,Acrylic,paper,,,Mom and Dad's Wedding Movie,,
Mom and Dad's Wedding 7,5,7,2019,Acrylic,paper,,,Mom and Dad's Wedding Movie,,
Mom and Dad's Wedding 8,5,7,2019,Acrylic,paper,,,Mom and Dad's Wedding Movie,,
Mom and Dad's Wedding 9,5,7,2019,Acrylic,paper,,,Mom and Dad's Wedding Movie,,
Mom Dancing 1,5,7,2019,Acrylic,paper,,,"Mom Dancing, the Movie",,
Mom Dancing 10,5,7,2019,Acrylic,paper,,,"Mom Dancing, the Movie",,
Mom Dancing 11,5,7,2019,Acrylic,paper,,,"Mom Dancing, the Movie",,
Mom Dancing 12,5,7,2019,Acrylic,paper,,,"Mom Dancing, the Movie",,
Mom Dancing 13,5,7,2019,Acrylic,paper,,,"Mom Dancing, the Movie",,
Mom Dancing 14,5,7,2019,Acrylic,paper,,,"Mom Dancing, the Movie",,
Mom Dancing 15,5,7,2019,Acrylic,paper,,,"Mom Dancing, the Movie",,
Mom Dancing 16,5,7,2019,Acrylic,paper,,,"Mom Dancing, the Movie",,
Mom Dancing 17,5,7,2019,Acrylic,paper,,,"Mom Dancing, the Movie",,
Mom Dancing 18,5,7,2019,Acrylic,paper,,,"Mom Dancing, the Movie",,
Mom Dancing 19,5,7,2019,Acrylic,paper,,,"Mom Dancing, the Movie",,
Mom Dancing 2,5,7,2019,Acrylic,paper,,,"Mom Dancing, the Movie",,
Mom Dancing 20,5,7,2019,Acrylic,paper,,,"Mom Dancing, the Movie",,
Mom Dancing 21,5,7,2019,Acrylic,paper,,,"Mom Dancing, the Movie",,
Mom Dancing 3,5,7,2019,Acrylic,paper,,,"Mom Dancing, the Movie",,
Mom Dancing 4,5,7,2019,Acrylic,paper,,,"Mom Dancing, the Movie",,
Mom Dancing 5,5,7,2019,Acrylic,paper,,,"Mom Dancing, the Movie",,
Mom Dancing 6,5,7,2019,Acrylic,paper,,,"Mom Dancing, the Movie",,
Mom Dancing 7,5,7,2019,Acrylic,paper,,,"Mom Dancing, the Movie",,
Mom Dancing 8,5,7,2019,Acrylic,paper,,,"Mom Dancing, the Movie",,
Mom Dancing 9,5,7,2019,Acrylic,paper,,,"Mom Dancing, the Movie",,
Drawing area,,,0,,,,,New Studio,,
License and George,,,0,,,,,New Studio,,
Mom's Birds come to roost,,,0,,,,,New Studio,,
Print press on porch,,,0,,,,,New Studio,,
Shed is delivered,,,0,,,,,New Studio,,
View of shed,,,0,,,,,New Studio,,
Allentown Street Scene,5,7,2012,Acrylic,paper,,TRUE,NJ Towns and Shops,,
"Bruno's Bicycle, Bruno at Front Counter",11,14,2013,Watercolor,paper,400,,NJ Towns and Shops,,
"Bruno's Bicycle, Dog Bar",11,14,2013,Watercolor,paper,400,,NJ Towns and Shops,,
"Bruno's Bicycle, Front Window",11,14,2013,Watercolor,paper,400,,NJ Towns and Shops,,
"Bruno's Bicycle, One Sweet Ride Candy Shop",11,14,2013,Watercolor,paper,400,,NJ Towns and Shops,,
House of Virginia Ave.,11,14,2014,Watercolor,paper,400,,NJ Towns and Shops,,
Laurita Winery 5,8,10,2009,Watercolor,paper,210,,NJ Towns and Shops,,
Mill Pond,8,10,1999,Watercolor,paper,,TRUE,NJ Towns and Shops,,
My Street Fall,4,6,2012,Watercolor,paper,210,,NJ Towns and Shops,,
Archery,8,10,2009,Watercolor,paper,210,,Ocky,,
Camp Canoe,8,10,2010,Watercolor,paper,210,,Ocky,,
Dinning Hall Window,8,10,2008,Mix Media,paper,,,Ocky,,
"Mike, Rope Bridge, Ocky",8,10,2011,Watercolor,paper,210,,Ocky,,
Ocky Boats,8,10,2007,pastel,paper,,,Ocky,,
Ocky Cabin,8,10,2007,Acrylic,paper,,,Ocky,,
Ocky Dock,8,10,2007,Watercolor,paper,,,Ocky,,
Ocky Dock 2,8,10,2007,Watercolor,paper,,,Ocky,,
Ocky Fall Dock,8,10,2007,Watercolor,paper,210,,Ocky,,
Summer Camp,9,13,2008,Acrylic,paper,,,Ocky,,
Summer Camp Arts and Craft Parvillian,11,14,2008,Mix Media,paper,,,Ocky,,
Swimming Area Boundries,7,9,2008,Acrylic,paper,,,Ocky,,
The Lake at Ocky,8,10,2008,Acrylic,paper,,,Ocky,,
"After the Hunt, Black and Red Interior",11,13,1979,Mix Media,paper,400,,Other Interiors,399,
Blue Living Room,16,20,2002,Oil,canvas,800,,Other Interiors,289,
Blue Room,6,5,1995,pastel,paper,210,,Other Interiors,57,
Dawn's Chair,8,10,2020,Watercolor,paper,,TRUE,Other Interiors,,
Ed's Chair,8,10,2020,Watercolor,paper,,TRUE,Other Interiors,,
Ellarslie Period Room,22,28,2019,Watercolor ,paper,1000,,Other Interiors,,
Golden Dinning Room,16,20,2005,Oil,canvas,800,,Other Interiors,,
Grandmother's Chair,9,11.5,1976,Mix Media,paper,350,,Other Interiors,260,
Grandmother's Dining Room,3.5,2.5,1976,Watercolor,paper,210,,Other Interiors,197,
Grandmother's Dining Room 2,8,12,1976,Mix Media,paper,250,,Other Interiors,,
Grandmother's Living Room,6.5,5,1976,Watercolor,paper,210,,Other Interiors,,
Grandmother's TV Room,2.5,3.5,1975,Watercolor,paper,210,,Other Interiors,198,
Interior with Two Dogs,8,10,2018,Mix Media,canvas,250,,Other Interiors,,
Judy's Chair,8,10,2020,Watercolor,paper,,TRUE,Other Interiors,,
Orange Library,16,20,2005,Oil,canvas,800,,Other Interiors,204,
Orange Living Room,12,16,2005,Oil,canvas,500,,Other Interiors,,
Paul F's Chair,8,10,2020,Watercolor,paper,,TRUE,Other Interiors,,
PCS Pink Livingroom,5,6,1995,pastel,paper,210,,Other Interiors,58,
PCS Red Couch,5,7,1989,Mix Media,paper,210,,Other Interiors,,
PCS Room With Red Wall,5,6.5,1997,pastel,paper,210,,Other Interiors,100,
PCS The Hall,4.5,6,1996,pastel,paper,210,,Other Interiors,98,
Purple Living Room,16,20,2001,Oil,canvas,800,,Other Interiors,295,
Red Chair,10,15,1985,Mix Media,paper,400,,Other Interiors,,
"Red Chairs, Dining Room",12,16,2005,Oil pastel,canvas,500,,Other Interiors,,
Red Couch in the Front Room,8,10,1979,Mix Media,paper,250,,Other Interiors,107,
Rutger's Garden Log Cabin,8,10,2018,Acrylic,canvas,250,,Other Interiors,,
Trent House Bedroom,6,7,2019,Watercolor,paper,210,,Other Interiors,,
Trent House Chairs,6,7,2019,Watercolor,paper,210,,Other Interiors,,
Yale Library,11,14,2019,Watercolor,,400,,Other Interiors,,
Yellow and Red Room,20.5,19,1988,Watercolor,paper,1000,,Other Interiors,,
Yellow Living Room,12,16,2008,Oil pastel,canvas,500,,Other Interiors,,
Beach Sunset,8,10,2019,Acrylic,canvas,250,,Painting on the Edge,,
Birds on the Edge of a Brush Pile,8,10,2019,Acrylic,canvas,250,,Painting on the Edge,,
Ducks on the Edge of the Pond,8,10,2019,Acrylic,canvas,250,,Painting on the Edge,,
On the Edge of a Pond,11,14,2019,Acrylic,canvas,400,,Painting on the Edge,,
South Dakota Trout Stream,8,10,2019,Acrylic,canvas,250,,Painting on the Edge,,
The Road Between the Fields,8,10,2019,Acrylic,canvas,,TRUE,Painting on the Edge,,
A Boy and His Dog,8,10,2020,Acrylic,canvas,250,,People,,
Archery,8,10,2009,Watercolor,paper,210,,People,,
Belly Dancer,11,14,2010,Watercolor,paper,400,,People,,
Belly Dancers,11,14,2010,Watercolor,paper,400,,People,,
Ben 2,11,14,1992,Pencil and Chalk,paper,,,People,,
Ben 3,11,14,1992,Pencil and Chalk,paper,,,People,,
Ben and Mike 4,11,14,1992,Pencil and Chalk,,,,People,,
Ben and Mike 5,11,14,1992,Pencil and Chalk,paper,,,People,,
Ben in a Tree,9,12,2007,Oil,canvas,,,People,187,
Ben Portrait 1,8.5,10.5,2008,Mix Media,paper,,,People,205,
Ben Portrait 2,8.5,10.5,2008,Mix Media,paper,,,People,,
Bev,8,10,1979,Charcoal,paper,50,,People,,
Bob Burkey,5,7,2019,Acrylic,canvas,,TRUE,People,,
Bob Burkey's Dad and Step Mom,12,16,2019,Acrylic,paper,,TRUE,People,,
Bob Burkey's Father,5,7,2019,Acrylic,canvas,,TRUE,People,,
Bob Burkey's Father 2,5,7,2019,Acrylic,canvas,,TRUE,People,,
Bob Burkey's Father 3,5,7,2019,Acrylic,canvas,,TRUE,People,,
Bumble Bee 1,8,10,2010,Watercolor,paper,210,,People,,
Bumble Bee 2,8,10,2010,Watercolor,paper,210,,People,,
Camp Canoe,8,10,2010,Watercolor,paper,210,,People,,
Chet 1,8,10,2009,Watercolor,paper,210,,People,,
Chet 2,8,10,2009,Watercolor,paper,210,,People,,
Chet 3,8,10,2009,Watercolor,paper,210,,People,,
Childhood Picture of My Mother,11,14,1992,pastel,paper,,,People,,
Dad,11,14,2017,Mix Media,paper,400,,People,,
Dad Dancing 1,8,10,2015,Watercolor,paper,210,,People,,
Dad Dancing 2,8,10,2015,Watercolor,paper,210,,People,,
Dad Dancing 3,8,10,2015,Watercolor,paper,210,,People,,
Dad Laughing on the Deck,8,10,2019,Acrylic,canvas,250,,People,,
Dad with Pumpkin,8,10,2016,Watercolor,paper,210,,People,,
Double Self Portrait,8,10,2009,Acrylic,canvas,,,People,,
Elaina,8,10,1979,Charcoal,paper,50,,People,,
Fishing With Grand Dad 1,8,10,2011,Watercolor,paper,210,,People,,
Fishing With Grand Dad 2,8,10,2011,Watercolor,paper,210,,People,,
Fishing With Grand Dad 3,8,10,2011,Watercolor,paper,210,,People,,
Flying a Kite,4,5,2009,Watercolor,paper,210,,People,403,
Grandmother and Her Sisters,8,10,1997,Pencil,paper,50,,People,,
Grandmother and Her Sisters 1,8,10,1997,Pencil,paper,50,,People,,
Grandmother and Her Sisters 2,8,10,1997,Pencil,paper,50,,People,,
Grandmother and Her Sisters 3,8,10,1997,Pencil,paper,50,,People,,
Grandmother and Her Sisters 6,8,10,1997,Pencil,paper,50,,People,,
Hightstown Art Group,8,11,2005,Pencil,paper,75,,People,,
"Horse Play, Mike and Ben, 1",8,10,2010,Watercolor,Paper,,,People,,
"Horse Play, Mike and Ben, 2",8,10,2010,Watercolor,Paper,,,People,,
"Horse Play, Mike and Ben, 3",8,10,2010,Watercolor,Paper,,,People,,
"Horse Play, Mike and Ben, 4",8,10,2010,Watercolor,Paper,,,People,,
Kevin Gantt,8.5,12,1989,pastel,paper,,TRUE,People,259,
